Subcategory,Food,Serving,Calories,URL
Liquor & Cocktails,Absinthe (70%),100 ml,443 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Amaretto (28%),100 ml,318 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Baileys (17%),100 ml,314 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Blue Curacao (21%),100 ml,243 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Bourbon Whiskey (40%),100 ml,248 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Brandy (40%),100 ml,305 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Chambord (16.5%),100 ml,234 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Coffee Liqueur (16%),100 ml,336 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Cointreau (40%),100 ml,336 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Daiquiri,100 ml,186 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Dark Rum (40%),100 ml,231 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Drambuie (40%),100 ml,366 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Eggnog (20%),100 ml,285 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Frangelico (20%),100 ml,211 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Gin (37.5%),100 ml,265 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Gin Tonic,100 ml,66 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Grand Marnier (40%),100 ml,318 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Jack Daniel's (35%),100 ml,250 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Jim Beam (40%),100 ml,240 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Jägermeister (35%),100 ml,255 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Kahlua (16%),100 ml,245 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,"Liquor, Cordial",100 ml,371 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Pina Colada,100 ml,78 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Rum (40%),100 ml,234 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Sambuca (40%),100 ml,386 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Scotch Whiskey (40%),100 ml,231 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Southern Comfort (35%),100 ml,231 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Tequila (40%),100 ml,231 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Tequila Sunrise,100 ml,110 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Triple Sec (38%),100 ml,371 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Vodka (37.5%),100 ml,234 Cal,https://www.calories.info/food/liquor-cocktails
Liquor & Cocktails,Whiskey Sour,100 ml,149 Cal,https://www.calories.info/food/liquor-cocktails
Meat,Alligator,100 g,97 Cal,https://www.calories.info/food/meat
Meat,Beef,100 g,156 Cal,https://www.calories.info/food/meat
Meat,Beef Bologna,100 g,299 Cal,https://www.calories.info/food/meat
Meat,"Beef Fillet, Beef Tenderloin",100 g,121 Cal,https://www.calories.info/food/meat
Meat,Beef Heart,100 g,105 Cal,https://www.calories.info/food/meat
Meat,Beef Jerky,100 g,269 Cal,https://www.calories.info/food/meat
Meat,Beef Kidney,100 g,48 Cal,https://www.calories.info/food/meat
Meat,Beef Liver,100 g,131 Cal,https://www.calories.info/food/meat
Meat,Beef Patty,100 g,295 Cal,https://www.calories.info/food/meat
Meat,Beef Roast,100 g,216 Cal,https://www.calories.info/food/meat
Meat,Beef Stew,100 g,251 Cal,https://www.calories.info/food/meat
Meat,Beef Tongue,100 g,221 Cal,https://www.calories.info/food/meat
Meat,Beef Tripe,100 g,85 Cal,https://www.calories.info/food/meat
Meat,Bison Meat,100 g,146 Cal,https://www.calories.info/food/meat
